profile,values
11111,1.0000
11112,0.9142
11113,0.8206
11114,0.5682
11115,0.5032
11121,0.9556
11122,0.8763
11123,0.7892
11124,0.5433
11125,0.4848
11131,0.8553
11132,0.7825
11133,0.7019
11134,0.4625
11135,0.4105
11141,0.5212
11142,0.4549
11143,0.3808
11144,0.1479
11145,0.1024
11151,0.4278
11152,0.3680
11153,0.3004
11154,0.0740
11155,0.0350
11211,0.9303
11212,0.8445
11213,0.7509
11214,0.4985
11215,0.4334
11221,0.8859
11222,0.8066
11223,0.7195
11224,0.4736
11225,0.4151
11231,0.7856
11232,0.7128
11233,0.6322
11234,0.3928
11235,0.3408
11241,0.4514
11242,0.3852
11243,0.3111
11244,0.0782
11245,0.0327
11251,0.3580
11252,0.2982
11253,0.2307
11254,0.0043
11255,-0.0347
11311,0.8729
11312,0.7871
11313,0.6935
11314,0.4411
11315,0.3761
11321,0.8285
11322,0.7492
11323,0.6621
11324,0.4162
11325,0.3577
11331,0.7282
11332,0.6554
11333,0.5748
11334,0.3354
11335,0.2834
11341,0.3941
11342,0.3278
11343,0.2537
11344,0.0208
11345,-0.0247
11351,0.3007
11352,0.2409
11353,0.1733
11354,-0.0531
11355,-0.0921
11411,0.7538
11412,0.6680
11413,0.5744
11414,0.3220
11415,0.2570
11421,0.7094
11422,0.6301
11423,0.5430
11424,0.2971
11425,0.2386
11431,0.6091
11432,0.5363
11433,0.4557
11434,0.2163
11435,0.1643
11441,0.2750
11442,0.2087
11443,0.1346
11444,-0.0983
11445,-0.1438
11451,0.1816
11452,0.1218
11453,0.0542
11454,-0.1722
11455,-0.2112
11511,0.7223
11512,0.6366
11513,0.5429
11514,0.2905
11515,0.2255
11521,0.6779
11522,0.5987
11523,0.5116
11524,0.2657
11525,0.2072
11531,0.5776
11532,0.5049
11533,0.4243
11534,0.1849
11535,0.1329
11541,0.2435
11542,0.1772
11543,0.1031
11544,-0.1297
11545,-0.1752
11551,0.1501
11552,0.0903
11553,0.0227
11554,-0.2036
11555,-0.2426
12111,0.9367
12112,0.8509
12113,0.7573
12114,0.5049
12115,0.4399
12121,0.8923
12122,0.8130
12123,0.7259
12124,0.4800
12125,0.4215
12131,0.7920
12132,0.7192
12133,0.6386
12134,0.3992
12135,0.3472
12141,0.4579
12142,0.3916
12143,0.3175
12144,0.0846
12145,0.0391
12151,0.3645
12152,0.3047
12153,0.2371
12154,0.0107
12155,-0.0283
12211,0.8670
12212,0.7812
12213,0.6876
12214,0.4352
12215,0.3701
12221,0.8226
12222,0.7433
12223,0.6562
12224,0.4103
12225,0.3518
12231,0.7223
12232,0.6495
12233,0.5689
12234,0.3295
12235,0.2775
12241,0.3881
12242,0.3219
12243,0.2478
12244,0.0149
12245,-0.0306
12251,0.2947
12252,0.2349
12253,0.1674
12254,-0.0590
12255,-0.0980
12311,0.8096
12312,0.7238
12313,0.6302
12314,0.3778
12315,0.3128
12321,0.7652
12322,0.6859
12323,0.5988
12324,0.3529
12325,0.2944
12331,0.6649
12332,0.5921
12333,0.5115
12334,0.2721
12335,0.2201
12341,0.3308
12342,0.2645
12343,0.1904
12344,-0.0425
12345,-0.0880
12351,0.2374
12352,0.1776
12353,0.1100
12354,-0.1164
12355,-0.1554
12411,0.6905
12412,0.6047
12413,0.5111
12414,0.2587
12415,0.1937
12421,0.6461
12422,0.5668
12423,0.4797
12424,0.2338
12425,0.1753
12431,0.5458
12432,0.4730
12433,0.3924
12434,0.1530
12435,0.1010
12441,0.2117
12442,0.1454
12443,0.0713
12444,-0.1616
12445,-0.2071
12451,0.1183
12452,0.0585
12453,-0.0091
12454,-0.2355
12455,-0.2745
12511,0.6590
12512,0.5733
12513,0.4796
12514,0.2272
12515,0.1622
12521,0.6147
12522,0.5354
12523,0.4483
12524,0.2024
12525,0.1439
12531,0.5143
12532,0.4416
12533,0.3610
12534,0.1216
12535,0.0696
12541,0.1802
12542,0.1140
12543,0.0398
12544,-0.1930
12545,-0.2385
12551,0.0868
12552,0.0270
12553,-0.0406
12554,-0.2669
12555,-0.3059
13111,0.8792
13112,0.7934
13113,0.6998
13114,0.4474
13115,0.3824
13121,0.8348
13122,0.7555
13123,0.6684
13124,0.4225
13125,0.3640
13131,0.7345
13132,0.6617
13133,0.5811
13134,0.3417
13135,0.2897
13141,0.4004
13142,0.3341
13143,0.2600
13144,0.0271
13145,-0.0184
13151,0.3069
13152,0.2472
13153,0.1796
13154,-0.0468
13155,-0.0858
13211,0.8094
13212,0.7237
13213,0.6300
13214,0.3776
13215,0.3126
13221,0.7651
13222,0.6858
13223,0.5987
13224,0.3528
13225,0.2943
13231,0.6647
13232,0.5920
13233,0.5114
13234,0.2720
13235,0.2200
13241,0.3306
13242,0.2644
13243,0.1902
13244,-0.0426
13245,-0.0881
13251,0.2372
13252,0.1774
13253,0.1098
13254,-0.1165
13255,-0.1555
13311,0.7521
13312,0.6663
13313,0.5727
13314,0.3203
13315,0.2553
13321,0.7077
13322,0.6284
13323,0.5413
13324,0.2954
13325,0.2369
13331,0.6074
13332,0.5346
13333,0.4540
13334,0.2146
13335,0.1626
13341,0.2733
13342,0.2070
13343,0.1329
13344,-0.1000
13345,-0.1455
13351,0.1798
13352,0.1201
13353,0.0525
13354,-0.1739
13355,-0.2129
13411,0.6330
13412,0.5472
13413,0.4536
13414,0.2012
13415,0.1362
13421,0.5886
13422,0.5093
13423,0.4222
13424,0.1763
13425,0.1178
13431,0.4883
13432,0.4155
13433,0.3349
13434,0.0955
13435,0.0435
13441,0.1542
13442,0.0879
13443,0.0138
13444,-0.2191
13445,-0.2646
13451,0.0607
13452,0.0010
13453,-0.0666
13454,-0.2930
13455,-0.3320
13511,0.6015
13512,0.5157
13513,0.4221
13514,0.1697
13515,0.1047
13521,0.5571
13522,0.4779
13523,0.3907
